College_Name,College_Code,Established_Year,Latitude,Longitude,Place,District,Type
SRI RAMA DEGREE COLLEGE,,,,,TANUKU,W.G.Dt,Private
MAA COMMERCE AND SCIENCE DEGREE COLLEGE ,390,2010,16.755313,81.682536,TANUKU,W.G.Dt,Private
R. I. T.A. M. S. DEGREE COLLEGE,391,1992,16.811729,81.532567,TANUKU,W.G.Dt,Private
S. C. I. M. GOVT. DEGREE COLLEGE,392,1968,16.759888,81.699357,TANUKU,W.G.Dt,Private
S.K.S.D. MAHILA KALASALA,393,1982,,,TANUKU,W.G.Dt,Private
SREE MARUTHI DEGREE COLLEGE ,394,2010,16.751904,81.705794,TANUKU,W.G.Dt,Private
SRI KRISHNAVENI DEGREE COLLEGE,394,2001,,,TANUKU,W.G.Dt,Private
SRI SAI DEGREE COLLEGE ,396,2003,,,TANUKU,W.G.Dt,Private
SURYA DEGREE COLLEGE ,397,2010,,,TANUKU,W.G.Dt,Private
SASI DEGREE COLLEGE,401,2006,16.83613,81.532567,TANUKU,W.G.Dt,Private
HARWARD DEGREE COLLEGE,32,2003,,,THONDANGI                     ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,116,1980,17.341004,82.510993,TUNI  ,E.G.Dt,Private
SIDDHARTHA COLLEGE ,117,1997,17.346546,,TUNI  ,E.G.Dt,Private
SV DEGREE COLLEGE,128,2014,17.35732,82.538899,TUNI  ,E.G.Dt,Private
VIVEKA DEGREE COLLEGE,129,2014,,,TUNI  ,E.G.Dt,Private
DIVYA DEGREE COLLEGE,402,2013,,,UNDI                        ,W.G.Dt,Private
MVR MONTESSORI DEGREE COLLEGE ,,2008,,,TADEPALLIGUDEM ,W.G.Dt,Private
MOTURI SUBRAHMANYAM SITAYAMMA DEGREE COLLEGE ,27,2003,16.556543,82.089248,UPPALA GUPTAM               ,E.G.Dt,Private
S. A. S. GOVT DEGREE COLLEGE,355,1972,16.822093,81.403078,UNGUTUR                  ,W.G.Dt,Private
S.M.B.T.A.V. & S. N. DEGREE COLLEGE,400,1981,16.538204,81.630175,VEERAVASARAM                  .             ,W.G.Dt,Private
GOVT. DEGREE COLLEGE,121,2009,17.295587,82.095594,YELESWARAM,E.G.Dt,Private
V S R DEGREE COLLEGE ,122,2006,17.286201,82.111844,YELESWARAM,E.G.Dt,Private
